games_processed,moveset_size
1,43
2,57
3,77
4,85
5,89
6,96
7,102
8,105
9,106
10,108
11,110
12,118
13,129
14,129
15,132
16,133
17,133
18,135
19,143
20,144
21,152
22,154
23,157
24,161
25,167
26,177
27,180
28,183
29,188
30,189
31,192
32,195
33,197
34,203
35,204
36,205
37,207
38,210
39,217
40,219
41,223
42,223
43,226
44,229
45,229
46,234
47,235
48,238
49,242
50,243
51,248
52,256
53,256
54,256
55,256
56,259
57,260
58,262
59,262
60,264
61,265
62,266
63,269
64,272
65,272
66,273
67,274
68,274
69,277
70,277
71,283
72,285
73,287
74,290
75,293
76,317
77,318
78,318
79,321
80,323
81,328
82,328
83,331
84,332
85,333
86,333
87,337
88,338
89,338
90,340
91,340
92,341
93,345
94,346
95,347
96,347
97,347
98,347
99,358
100,359
101,368
102,381
103,382
104,395
105,411
106,411
107,424
108,430
109,430
110,448
111,456
112,462
113,466
114,475
115,485
116,502
117,506
118,508
119,510
120,510
121,511
122,511
123,516
124,522
125,525
126,525
127,534
128,536
129,548
130,556
131,562
132,565
133,577
134,583
135,591
136,599
137,601
138,602
139,610
140,613
141,619
142,629
143,630
144,637
145,641
146,643
147,645
148,646
149,651
150,651
151,651
152,652
153,654
154,656
155,658
156,663
157,677
158,679
159,688
160,690
161,693
162,698
163,703
164,705
165,708
166,714
167,718
168,719
169,719
170,722
171,723
172,730
173,742
174,744
175,747
176,751
177,757
178,761
179,762
180,762
181,762
182,773
183,774
184,776
185,776
186,776
187,777
188,778
189,779
190,779
191,780
192,782
193,788
194,788
195,791
196,793
197,798
198,800
199,800
200,800
201,800
202,801
203,801
204,802
205,804
206,806
207,807
208,807
209,807
210,807
211,809
212,811
213,811
214,811
215,811
216,816
217,818
218,819
219,820
220,820
221,822
222,824
223,827
224,829
225,829
226,829
227,830
228,830
229,830
230,831
231,836
232,842
233,843
234,848
235,854
236,857
237,862
238,862
239,864
240,875
241,882
242,885
243,888
244,889
245,889
246,890
247,891
248,892
249,893
250,893
251,893
252,893
253,893
254,893
255,893
